"Seq,cal","Seq,all",L,L/Hs,a,"a1,mea","a1,mean","a1,cal","a1/Hs,cal","a1,all","a1/Hs,all",a1/AD50,a1/AD90,a1/AD95,"hu,mea","hu,cal",qs,ys,ls,ys/Hs,ls/Hs
0.077259045,0.076,1.05,23.30930401,0.120225,0.040425,,0.039103003,0.868060741,0.040425,0.897408204,2.917719235,0.68890593,0.557317157,,,0,0.075,0.25,1.664950287,5.549834289
0.062690063,0.062,1.05,19.81278313,0.120225,0.055125,,0.054400433,1.026499037,0.055125,1.040171114,3.978708048,0.939417178,0.759977942,,,0,0.106,0.3,2.00014763,5.660795181
0.055852701,0.053,1.05,18.1107487,0.120225,0.064575,,0.061579664,1.062146503,0.064575,1.113811045,4.660772284,1.100460123,0.890259875,,,0,0.122,0.35,2.104296516,6.036916233
0.165540082,0.104,1.05,42.16361515,0.1554,0.0462,,-0.018417086,-0.739553263,0.0462,1.855199067,3.334536268,0.787321063,0.636933894,,,0,0.071,0.18,2.851063501,7.228048312
0.117442267,0.09,1.05,32.28402754,0.1554,0.0609,,0.03208562,0.9865267,0.0609,1.872473597,4.395525081,1.037832311,0.839594678,,,0,0.095,0.2,2.920935825,6.149338579
0.082963881,0.073,1.05,24.63732409,0.1554,0.07875,,0.068287925,1.602315939,0.07875,1.847799307,5.683868639,1.34202454,1.085682774,,,0,0.133,0.3,3.120727718,7.039235454
0.002659904,0.002659904,2.5,47.89233723,0.0235,,,0.01685024,0.322798949,0.01685024,0.322798949,5.743094721,4.494595869,4.307321041,0.05,0.044121893,0,0.084,1.25,1.609182531,23.94616861
0.001827769,0.001827769,2.5,35.77102484,0.0175,,,0.012930576,0.185015987,0.012930576,0.185015987,4.407149392,3.449073437,3.305362044,0.065,0.06420941,0,0.097,1.65,1.387915764,23.6088764
0.002641357,0.002641357,2.5,47.63240516,0.01775,,,0.011146607,0.212375875,0.011146607,0.212375875,3.79911612,2.973221312,2.84933709,0.05,0.044431701,0,0.071,1.35,1.352760306,25.72149878
0.002215541,0.002215541,2.5,41.54524146,0.01575,,,0.010211147,0.169689819,0.010211147,0.169689819,3.480281703,2.723698724,2.610211277,0.062,0.052971251,0,0.068,1.47,1.130030568,24.42860198
0.002623089,0.002623089,2.5,47.37597151,0.0155,,,0.008942279,0.169459655,0.008942279,0.169459655,3.0478114,2.385243704,2.28585855,0.05,0.044741151,0,0.058,1.43,1.099122539,27.0990557
0.002001525,0.002001525,2.5,38.38898575,0.01475,,,0.009746187,0.149658499,0.009746187,0.149658499,3.321808907,2.599676536,2.49135668,0.071,0.058635289,0,0.083,1.25,1.274514327,19.19449288
0.00191495,0.00191495,2.5,37.09117274,0.0255,,,0.020712624,0.307302209,0.020712624,0.307302209,7.059517452,5.524839745,5.294638089,0.07,0.061286185,0,0.095,1.9,1.409464564,28.18929129
0.002623089,0.002623089,2.5,47.37597151,0.0255,,,0.018942279,0.358963541,0.018942279,0.358963541,6.456127692,5.052621672,4.842095769,0.05,0.044741151,0,0.087,1.5,1.648683809,28.42558291
0.002307541,0.002307541,2.5,42.88093611,0.0275,,,0.021731148,0.372740785,0.021731148,0.372740785,7.406662519,5.796518493,5.554996889,0.06,0.050859338,0,0.102,1.55,1.749542193,26.58618039
0.001905828,0.001905828,2.5,36.95367052,0.0275,,,0.02273543,0.33606304,0.02273543,0.33606304,7.748953749,6.064398586,5.811715312,0.07,0.061579538,0,0.11,1.63,1.625961503,24.09379318
0.002085952,0.002085952,2.5,39.64264067,0.021,,,0.015785119,0.250305522,0.015785119,0.250305522,5.380067873,4.210487901,4.035050905,0.065,0.056262072,0,0.084,1.98,1.331992727,31.39697141
0.002678735,0.002678735,2.5,48.15584473,0.021,,,0.014303162,0.275512337,0.014303162,0.275512337,4.87496997,3.81519389,3.656227478,0.06,0.043811721,0,0.069,1.52,1.329101314,29.27875359
